Date,AverageTemperature,AverageTemperatureUncertainty,AverageAnomaly
1985-10-01,9.435,0.117,-0.5881333333333316
1985-11-01,1.545,0.098,-1.266233333333334
1985-12-01,-3.015,0.374,-0.8930000000000007
1986-01-01,-1.274,0.306,2.2526666666666664
1986-02-01,-0.175,0.256,1.3868666666666667
1986-03-01,4.471,0.175,1.9385333333333334
1986-04-01,8.394,0.157,0.19006666666666483
1986-05-01,14.245,0.17,0.4335666666666693
1986-06-01,19.789,0.201,1.0427666666666653
1986-07-01,21.544,0.153,0.06680000000000774
1986-08-01,20.188,0.207,-0.31543333333333123
1986-09-01,15.92,0.223,-0.43556666666666466
1986-10-01,9.691,0.134,-0.3321333333333314
1986-11-01,2.504,0.186,-0.3072333333333339
1986-12-01,-0.583,0.151,1.5389999999999995
1987-01-01,-2.5250000000000004,0.213,1.001666666666666
1987-02-01,0.2569999999999997,0.144,1.8188666666666664
1987-03-01,3.266,0.135,0.7335333333333334
1987-04-01,9.16,0.135,0.9560666666666648
1987-05-01,15.258,0.122,1.4465666666666692
1987-06-01,19.63,0.172,0.8837666666666628
1987-07-01,21.479,0.183,0.001800000000006463
1987-08-01,20.587,0.238,0.08356666666666968
1987-09-01,16.371,0.154,0.015433333333334076
1987-10-01,9.653,0.142,-0.37013333333333165
1987-11-01,3.835,0.112,1.023766666666666
1987-12-01,-1.4329999999999998,0.078,0.6889999999999996
1988-01-01,-4.263,0.12,-0.7363333333333335
1988-02-01,-1.361,0.156,0.20086666666666675
1988-03-01,3.252,0.117,0.7195333333333331
1988-04-01,8.686,0.151,0.48206666666666464
1988-05-01,14.642,0.171,0.8305666666666696
1988-06-01,20.021,0.245,1.2747666666666646
1988-07-01,22.243,0.185,0.7658000000000058
1988-08-01,21.295,0.124,0.7915666666666716
1988-09-01,16.160999999999998,0.143,-0.19456666666666678
1988-10-01,9.22,0.142,-0.8031333333333315
1988-11-01,2.9090000000000003,0.108,0.09776666666666634
1988-12-01,-1.501,0.165,0.6209999999999996
1989-01-01,-3.103,0.191,0.4236666666666662
1989-02-01,-2.817,0.133,-1.2551333333333334
1989-03-01,3.12,0.23,0.5875333333333335
1989-04-01,9.439,0.153,1.2350666666666648
1989-05-01,14.031,0.16,0.21956666666667068
1989-06-01,18.698,0.181,-0.04823333333333579
1989-07-01,21.974,0.242,0.49680000000000746
1989-08-01,20.469,0.282,-0.034433333333328875
1989-09-01,16.236,0.196,-0.11956666666666393
1989-10-01,9.901,0.208,-0.12213333333333232
1989-11-01,2.597,0.157,-0.21423333333333394
1989-12-01,-4.0680000000000005,0.086,-1.946000000000001
1990-01-01,-1.1230000000000002,0.195,2.403666666666666
1990-02-01,-1.747,0.107,-0.18513333333333337
1990-03-01,4.465,0.24,1.9325333333333332
1990-04-01,9.38,0.08,1.1760666666666655
1990-05-01,13.772,0.112,-0.039433333333329657
1990-06-01,19.78,0.255,1.033766666666665
1990-07-01,21.605,0.175,0.12780000000000769
1990-08-01,20.857,0.218,0.35356666666666925
1990-09-01,17.457,0.203,1.1014333333333362
1990-10-01,9.592,0.159,-0.4311333333333316
1990-11-01,3.622,0.3,0.810766666666666
1990-12-01,-3.401,0.19,-1.2790000000000004
1991-01-01,-3.859,0.109,-0.3323333333333336
1991-02-01,1.043,0.138,2.6048666666666667
1991-03-01,3.496,0.202,0.9635333333333334
1991-04-01,9.144,0.141,0.9400666666666648
1991-05-01,15.076,0.134,1.2645666666666706
1991-06-01,19.335,0.087,0.5887666666666647
1991-07-01,21.616,0.188,0.13880000000000692
1991-08-01,20.866,0.195,0.3625666666666696
1991-09-01,16.607,0.156,0.25143333333333473
1991-10-01,10.154,0.125,0.1308666666666678
1991-11-01,1.4780000000000002,0.12,-1.3332333333333337
1991-12-01,-1.0319999999999998,0.12,1.0899999999999996
1992-01-01,-1.7390000000000003,0.191,1.787666666666666
1992-02-01,0.6619999999999999,0.187,2.223866666666667
1992-03-01,4.227,0.163,1.6945333333333337
1992-04-01,8.729000000000001,0.262,0.5250666666666657
1992-05-01,14.029000000000002,0.075,0.2175666666666718
1992-06-01,18.477,0.227,-0.2692333333333359
1992-07-01,20.595,0.212,-0.8821999999999939
1992-08-01,19.492,0.175,-1.0114333333333292
1992-09-01,15.458,0.266,-0.8975666666666644
1992-10-01,9.527,0.083,-0.49613333333333287
1992-11-01,2.125,0.238,-0.6862333333333339
1992-12-01,-2.906,0.357,-0.7840000000000007
1993-01-01,-3.498,0.192,0.028666666666666174
1993-02-01,-2.381,0.184,-0.819133333333333
1993-03-01,3.195,0.159,0.6625333333333332
1993-04-01,8.246,0.133,0.04206666666666514
1993-05-01,14.63,0.247,0.8185666666666709
1993-06-01,18.459,0.119,-0.28723333333333656
1993-07-01,21.254,0.166,-0.2231999999999914
1993-08-01,20.486,0.174,-0.017433333333329415
1993-09-01,15.534,0.184,-0.8215666666666639
